JD,vel,errvel,
2449679.81555,-3.79999995232,1.2,
2449769.67974,1.10000002384,0.97, 
2450005.00607,-3.79999995232,1.36, 
2450090.72981,-9.53999996185,1.23, 
2450326.95117,1.59000003338,1.84, 
2450504.64746,9.78999996185,2.4400001, 
2450682.00488,17.2399997711,2.1300001, 
2450793.78711,12.3900003433,2.45, 
2451101.97168,23.8799991608,2.28, 
2451130.89258,15.8500003815,2.9300001, 
2451174.75781,19.2600002289,2.76, 
2451799.00746,-1.22000002861,2.05, 
2451803.02246,3.70000004768,2.72, 
2451806.00391,19.8400001526,2.29, 
2451806.95606,12.8699998856,2.53, 
2451808.93359,14.3900003433,2.6899998, 
2451811.93555,11.470000267,2.8099999, 
2451816.93262,17.1200008392,2.5699999, 
2451822.94824,26.6100006104,2.72, 
2451824.96425,37.2599983215,1.9200001, 
2451825.98688,26.5799999237,1.9500002, 
2451826.98544,13.4399995804,2.5899999, 
2451831.91131,0.730000019073,1.9500002, 
2451865.82702,6.13999986649,1.8300002, 
2451866.84357,5.53000020981,1.89, 
2451867.85442,2.94000005722,1.6999999, 
2451868.84408,4.63999986649,1.7299999, 
2452142.01562,17.3099994659,2.5, 
2452143.00936,14.5699996948,1.8300002, 
2452144.02148,5.40999984741,2.6300004, 
2452145.99166,2.47000002861,1.88, 
2452184.92871,14.1999998093,2.6400003, 
2452195.97363,10.4899997711,2.6400003, 
2452203.90458,11.9799995422,1.88, 
2452215.83691,16.2999992371,2.8800001, 
2452228.86906,-3.8599998951,1.9, 
2452267.73535,-16.5799999237,2.1700001, 
2452292.77502,-9.31999969482,2.0699999, 
2452293.75445,-3.02999997139,1.84, 
2452294.74368,-0.550000011921,1.8, 
2452494.00977,-13.9099998474,2.05, 
2452509.02684,-25.6200008392,1.42, 
2452509.92188,-18.7999992371,2.3, 
2452513.02631,-16.7000007629,1.45, 
2452516.00851,-17.6599998474,1.16, 
2452521.0121,-22.5,1.1799999, 
2452524.00075,-24.1000003815,1.1799999, 
2452535.96301,-20.7800006866,1.1799999, 
2452541.02321,-12.3800001144,1.23, 
2452542.98926,5.42000007629,2.6500001, 
2452553.92295,-13.6099996567,1.59, 
2452554.90299,-17.6299991608,1.5700002, 
2452562.96484,-17.7600002289,2.01, 
2452574.94159,-4.92000007629,1.66, 
2452577.898,-32.1199989319,1.66, 
2452598.88824,-18.5300006866,1.36, 
2452599.85961,-3.43000006676,1.87, 
2452600.91277,-24.3099994659,1.41, 
2452606.84395,-25.3400001526,1.2999998, 
2452608.88141,-20.6100006104,1.4, 
2452631.74807,-22.1200008392,1.59, 
2452893.99023,-19.3999996185,1.96, 
2452896.00391,-14.9200000763,2.3499999, 
2452898.00195,-16.1800003052,2.0, 
2452910.98622,-8.65999984741,1.1799999, 
2452926.91754,-12.0399999619,1.28, 
2452937.85131,-10.9099998474,1.21, 
2452968.83318,-9.26000022888,1.09, 
2452970.79582,0.340000003576,1.11, 
2453010.78613,-5.55999994278,2.1400001, 
2453020.74316,-17.8799991608,2.0699999, 
2453048.68985,-1.87000000477,2.0699999, 
2453250.99638,-9.60000038147,1.46, 
2453252.01758,-2.71000003815,2.3099999, 
2453280.97949,5.92000007629,2.22, 
2453315.87549,7.30999994278,1.5700002, 
2453336.81739,13.7700004578,2.0899999, 
2453338.72363,18.3400001526,2.1900001, 
2453341.81439,3.3900001049,1.45, 
2453361.74793,-9.35000038147,2.3499999, 
2453362.78819,-2.90000009537,1.6299999, 
2453363.75402,-2.27999997139,1.6299999, 
2453402.67908,8.30000019073,1.39, 
2453403.68658,9.27000045776,1.4400001, 
2453405.66551,4.23999977112,1.4400001, 
2453636.96877,7.36000013351,1.54, 
2453637.9477,5.48999977112,1.5599999, 
2453742.76138,4.42000007629,1.47, 
2453755.66025,-12.0200004578,1.48, 
2453756.70522,-8.72000026703,1.45, 
2453773.68676,2.67000007629,1.54, 
2453963.00161,7.32999992371,1.53, 
2453988.86799,8.52999973297,1.6299999, 
2453989.95814,3.1400001049,1.34, 
2454071.87798,28.5100002289,1.5500001, 
2454072.78217,21.2700004578,1.59, 
2454073.72648,22.4500007629,1.99, 
2454097.76458,24.0200004578,2.46, 
2454098.7022,14.1899995804,2.8199999, 
2454102.72199,4.09999990463,1.47, 
2454103.7005,3.32999992371,1.5099999, 
2454133.73587,-5.67000007629,1.5599999, 
2454135.70373,1.75999999046,1.7899998, 
2454337.96867,3.84999990463,1.39, 
2454340.98099,0.129999995232,0.92, 
2454373.96101,11.9099998474,1.35, 
2454383.0344,14.8500003815,1.6800001, 
2454425.87252,-4.34999990463,1.5, 
2454427.80162,2.07999992371,1.47, 
2454723.00823,-4.36000013351,1.4899999, 
2454723.99048,2.21000003815,1.4299999, 
2454725.01666,-6.09000015259,1.36, 
2454726.00806,-14.8900003433,1.46, 
2454753.95079,-1.53999996185,1.33, 
2454756.90223,-7.38999986649,2.28, 
2454783.77679,0.379999995232,1.33, 
2454784.78999,-9.53999996185,1.2999998, 
2454785.88829,-13.9600000381,1.41, 
2454845.70217,1.35000002384,1.25, 
2454863.67251,-9.05000019073,2.4800003, 
2455171.85104,1.69000005722,2.45, 
2455228.68302,6.46000003815,1.8300002, 
2455438.99828,-8.17000007629,1.2400001, 
2455576.66298,-10.6599998474,1.58, 
2455585.67756,-0.790000021458,1.27, 
2455843.99382,-26.8099994659,5.5700002, 
2455846.85148,8.73999977112,2.1900001, 